CustomerID,DaysSinceLastPurchase,TotalTransactions,TotalProductsPurchased,TotalSpend,UniqueProductsPurchased,Is_UK,AverageTransactionValue
12347.0,2,7,2137,3653.4500000000003,90,0,521.9214285714286
12348.0,75,4,2332,1437.24,21,0,359.31
12350.0,310,1,168,258.0,13,0,258.0
12352.0,36,7,516,1373.24,56,0,196.17714285714285
12353.0,204,1,20,89.0,4,0,89.0
12355.0,214,1,210,363.1,9,0,363.1
12356.0,22,3,1493,2406.63,49,0,802.21
12358.0,1,2,142,341.86,8,0,170.93
12360.0,52,3,1110,2118.36,99,0,706.12
12361.0,287,1,90,174.9,9,0,174.9
12363.0,109,2,408,552.0,23,0,276.0
12364.0,7,4,1393,1133.4,63,0,283.35
12365.0,291,1,164,283.94,19,0,283.94
12367.0,4,1,172,150.9,10,0,150.9
12370.0,51,4,2120,2971.71,130,0,742.9275
12371.0,59,1,502,1269.56,51,0,1269.56
12372.0,71,3,713,1164.54,30,0,388.18
12373.0,311,1,186,305.1,12,0,305.1
12374.0,25,1,337,589.03,31,0,589.03
12375.0,10,2,144,286.1,10,0,143.05
12379.0,81,2,388,739.84,36,0,369.92
12380.0,21,4,1030,2191.51,68,0,547.8775
12381.0,4,3,724,1408.15,65,0,469.3833333333334
12383.0,184,5,1482,1498.36,78,0,299.67199999999997
12384.0,28,2,105,371.62,22,0,185.81
12386.0,337,2,354,401.9,10,0,200.95
12388.0,15,6,1327,2524.91,53,0,420.8183333333333
12390.0,79,1,325,494.34000000000003,30,0,494.34000000000003
12391.0,21,1,256,399.18,88,0,399.18
12393.0,72,4,800,1521.0,45,0,380.25
12394.0,63,2,808,1080.48,25,0,540.24
12395.0,19,12,2082,2645.78,87,0,220.48166666666668
12399.0,119,4,1161,1018.65,45,0,254.6625
12401.0,303,1,3,36.45,2,0,36.45
12402.0,323,1,82,176.1,9,0,176.1
12403.0,49,1,2,9.9,1,0,9.9
12407.0,49,5,957,1309.3,47,0,261.86
12408.0,32,5,1289,2538.45,75,0,507.68999999999994
12410.0,308,2,207,533.33,25,0,266.665
12412.0,74,3,791,1091.67,39,0,363.89000000000004
12413.0,66,3,246,589.3,26,0,196.4333333333333
12414.0,217,3,248,263.76,11,0,87.92
12417.0,3,9,1377,2936.05,138,0,326.2277777777778
12418.0,112,1,401,635.88,33,0,635.88
12420.0,63,1,342,585.54,28,0,585.54
12421.0,15,4,440,516.74,27,0,129.185
12422.0,95,3,345,654.1,36,0,218.03333333333333
12423.0,0,8,1032,1422.27,80,0,177.78375
12424.0,162,2,740,1760.96,30,0,880.48
12425.0,78,1,438,727.36,33,0,727.36
12426.0,194,1,229,508.23,28,0,508.23
12427.0,21,3,526,699.8,25,0,233.26666666666665
12429.0,9,4,1406,3212.84,74,0,803.21
12430.0,43,1,116,216.4,10,0,216.4
12432.0,42,4,1436,3242.12,93,0,810.53
12434.0,84,2,388,773.44,44,0,386.72
12436.0,99,1,191,330.91,13,0,330.91
12438.0,14,2,1125,2436.13,81,0,1218.065
12441.0,366,1,103,117.30000000000001,8,0,117.30000000000001
12442.0,3,1,181,144.06,11,0,144.06
12445.0,22,1,12,17.4,1,0,17.4
12446.0,57,1,330,949.5600000000001,54,0,949.5600000000001
12447.0,243,1,177,411.99,24,0,411.99
12448.0,44,1,182,310.37,17,0,310.37
12449.0,22,4,1375,3447.69,109,0,861.9225
12450.0,156,2,128,197.88,7,0,98.94
12452.0,16,1,181,348.57,20,0,348.57
12453.0,134,1,473,707.09,43,0,707.09
12455.0,73,5,1856,1956.96,72,0,391.392
12456.0,44,3,1538,2437.08,95,0,812.36
12457.0,86,4,748,1585.58,48,0,396.395
12458.0,71,2,464,731.9,31,0,365.95
12461.0,154,1,282,626.88,34,0,626.88
12462.0,18,2,511,907.39,48,0,453.695
12463.0,53,4,685,1138.05,57,0,284.5125
12464.0,10,8,95,957.05,5,0,119.63125
12465.0,17,2,471,665.59,44,0,332.795
12468.0,187,2,332,609.84,32,0,304.92
12473.0,53,3,2143,2333.9,121,0,777.9666666666667
12475.0,53,1,532,669.38,35,0,669.38
12478.0,3,1,233,545.99,35,0,545.99
12479.0,11,1,358,443.2,28,0,443.2
12480.0,28,4,1487,2647.41,113,0,661.8525
12483.0,17,8,1010,1830.94,41,0,228.8675
12488.0,9,3,506,1198.46,42,0,399.4866666666667
12489.0,336,1,97,289.03,13,0,289.03
12491.0,38,1,258,424.40000000000003,24,0,424.40000000000003
12492.0,63,2,159,201.41000000000003,16,0,100.70500000000001
12493.0,165,2,204,379.74,18,0,189.87
12494.0,15,7,632,976.6600000000001,55,0,139.52285714285716
12497.0,81,1,1156,921.6,12,0,921.6
12498.0,21,3,156,349.70000000000005,20,0,116.56666666666668
12500.0,23,10,2618,3920.62,27,0,392.062
12502.0,95,5,656,2740.67,88,0,548.134
12504.0,18,2,87,428.04999999999995,5,0,214.02499999999998
12506.0,232,1,23,73.5,23,0,73.5
12507.0,134,3,885,1052.81,18,0,350.93666666666667
12508.0,26,2,249,378.26,54,0,189.13
12509.0,284,1,44,109.0,5,0,109.0
12510.0,142,2,335,779.17,26,0,389.585
12512.0,66,2,65,103.57,26,0,51.785
12513.0,112,1,434,547.79,33,0,547.79
12515.0,353,1,122,243.0,13,0,243.0
12516.0,77,2,684,835.98,14,0,417.99
12518.0,0,5,1269,1780.59,80,0,356.118
12519.0,63,1,172,276.84,16,0,276.84
12520.0,79,5,1228,2177.15,109,0,435.43
12521.0,142,1,306,545.68,37,0,545.68
12522.0,39,2,192,156.72,10,0,78.36
12523.0,19,11,840,1677.97,81,0,152.54272727272726
12526.0,0,3,612,1162.46,62,0,387.4866666666667
12527.0,81,3,137,189.59,12,0,63.196666666666665
12528.0,9,6,560,1325.36,36,0,220.89333333333332
12530.0,59,4,797,1112.53,43,0,278.1325
12531.0,14,1,45,125.22,17,0,125.22
12532.0,30,1,151,313.83000000000004,15,0,313.83000000000004
12534.0,130,1,578,869.97,54,0,869.97
12535.0,91,2,187,600.75,24,0,300.375
12538.0,29,1,191,363.95,21,0,363.95
12541.0,29,3,675,841.18,45,0,280.3933333333333
12544.0,36,1,110,286.7,16,0,286.7
12545.0,75,2,445,742.39,35,0,371.195
12546.0,46,2,628,1021.5,58,0,510.75
12547.0,197,2,132,151.79999999999998,6,0,75.89999999999999
12548.0,166,1,48,67.19999999999999,4,0,67.19999999999999
12550.0,79,1,478,705.34,48,0,705.34
12551.0,357,1,80,129.0,8,0,129.0
12552.0,39,1,82,279.57,16,0,279.57
12553.0,8,9,1661,2756.31,84,0,306.25666666666666
12556.0,50,2,298,541.77,91,0,270.885
12557.0,16,4,1792,2633.84,11,0,658.46
12558.0,7,1,162,228.76,9,0,228.76
12559.0,310,2,281,525.71,20,0,262.855
12560.0,5,2,1021,1787.31,86,0,893.655
12561.0,302,1,174,224.0,15,0,224.0
12562.0,8,7,1719,3298.2400000000002,94,0,471.1771428571429
12564.0,261,1,121,367.35,18,0,367.35
12565.0,288,1,80,145.92,9,0,145.92
12566.0,86,1,212,276.65,16,0,276.65
12571.0,39,2,511,511.81,30,0,255.905
12572.0,8,2,393,880.08,48,0,440.04
12573.0,227,1,72,129.14000000000001,22,0,129.14000000000001
12574.0,315,1,59,182.45000000000002,10,0,182.45000000000002
12576.0,35,5,903,1242.97,68,0,248.594
12577.0,35,3,427,588.04,124,0,196.01333333333332
12579.0,78,1,232,365.42,26,0,365.42
12580.0,246,1,236,379.7,23,0,379.7
12581.0,39,1,135,169.21,13,0,169.21
12582.0,238,2,288,321.36,19,0,160.68
12584.0,3,9,347,2125.4500000000003,40,0,236.16111111111115
12586.0,17,1,73,179.24,10,0,179.24
12587.0,7,1,50,104.0,3,0,104.0
12588.0,39,1,52,174.89999999999998,9,0,174.89999999999998
12589.0,28,2,286,549.08,26,0,274.54
12591.0,317,1,225,368.85,25,0,368.85
12592.0,92,2,288,401.6,10,0,200.8
12593.0,108,3,194,342.59999999999997,12,0,114.19999999999999
12594.0,37,9,1640,3100.58,47,0,344.50888888888886
12596.0,51,2,454,404.17,22,0,202.085
12597.0,19,4,2109,3066.31,173,0,766.5775
12598.0,9,7,1928,2763.48,81,0,394.78285714285715
12599.0,29,7,948,888.58,31,0,126.94000000000001
12600.0,28,9,446,1129.0800000000002,22,0,125.45333333333335
12601.0,189,5,228,451.66,19,0,90.33200000000001
12602.0,58,1,162,153.12,12,0,153.12
12603.0,21,1,56,613.1999999999999,1,0,613.1999999999999
12604.0,79,2,184,204.98000000000002,13,0,102.49000000000001
12609.0,78,3,591,898.91,51,0,299.63666666666666
12610.0,22,4,983,1656.19,80,0,414.0475
12611.0,52,1,814,1133.1,61,0,1133.1
12612.0,74,1,68,68.03999999999999,4,0,68.03999999999999
12613.0,57,4,1588,2992.58,117,0,748.145
12614.0,277,1,60,249.6,16,0,249.6
12615.0,2,4,1333,1980.19,77,0,495.0475
12616.0,95,2,280,641.3,24,0,320.65
12617.0,29,1,210,352.98,39,0,352.98
12618.0,21,1,95,137.31,10,0,137.31
12619.0,16,8,3250,2724.16,45,0,340.52
12620.0,14,3,1028,1169.15,76,0,389.7166666666667
12622.0,232,1,64,147.1,9,0,147.1
12623.0,276,1,179,249.6,16,0,249.6
12624.0,106,2,329,511.03000000000003,31,0,255.51500000000001
12628.0,4,3,439,699.76,31,0,233.25333333333333
12630.0,9,2,500,940.18,55,0,470.09
12631.0,57,1,222,428.2,28,0,428.2
12633.0,58,4,1105,1880.32,70,0,470.08
12635.0,89,2,1102,1439.22,90,0,719.61
12638.0,33,1,477,479.05,34,0,479.05
12639.0,238,1,188,318.6,18,0,318.6
12640.0,23,3,301,994.58,46,0,331.5266666666667
12641.0,115,1,71,145.9,9,0,145.9
12642.0,25,3,522,875.26,37,0,291.75333333333333
12644.0,129,1,325,477.91,31,0,477.91
12645.0,33,4,1076,1631.18,57,0,407.795
12646.0,4,2,865,1214.17,39,0,607.085
12647.0,22,12,1202,2703.31,65,0,225.27583333333334
12648.0,154,1,145,234.15,16,0,234.15
12649.0,107,3,571,546.11,26,0,182.03666666666666
12650.0,3,1,250,242.44000000000003,19,0,242.44000000000003
12651.0,334,1,63,85.95,7,0,85.95
12653.0,148,2,919,2209.85,37,0,1104.925
12654.0,10,5,260,529.98,30,0,105.99600000000001
12656.0,17,5,1615,3482.05,81,0,696.4100000000001
12657.0,11,4,1032,1427.18,34,0,356.795
12658.0,18,1,239,460.75,26,0,460.75
12659.0,29,1,104,73.68,4,0,73.68
12660.0,11,1,120,211.8,11,0,211.8
